nodeId,uri,name,label,embedding
0,http://www.wikidata.org/entity/Q94997800,King Caspar,[Paintings],"[0.7296749353408813,-0.5552355051040649,-0.034690774977207184,0.28311973810195923,0.8912740349769592,0.396708607673645,-0.8912939429283142,0.4825340807437897,0.13970810174942017,-0.2606753706932068]"
1,http://www.wikidata.org/entity/Q5713884,Hendrik Heerschop,[Person],"[0.6734389066696167,-0.30742722749710083,-0.11714687943458557,0.23669791221618652,0.8289795517921448,0.47540315985679626,-0.6343168616294861,0.6786858439445496,-0.00980713963508606,-0.4279475808143616]"
2,http://www.wikidata.org/entity/Q7401079,Saint Caspar,[Keyword],"[0.6734389066696167,-0.30742722749710083,-0.11714687943458557,0.23669791221618652,0.8289795517921448,0.47540315985679626,-0.6343168616294861,0.6786858439445496,-0.00980713963508606,-0.4279475808143616]"
4,http://www.wikidata.org/entity/Q335927,Gerrit Dou,[Person],"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
5,http://www.wikidata.org/entity/Q28940972,Head of a Boy in a Turban,[Paintings],"[0.9030377864837646,-0.2720276713371277,0.3585853576660156,0.7828381061553955,0.03924182057380676,0.28338271379470825,-0.7519735097885132,0.04574781656265259,0.09794850647449493,-0.1783103048801422]"
6,http://www.wikidata.org/entity/Q20380797,"Don Miguel de Castro, Emissary of Congo",[Paintings],"[0.9838948249816895,0.1455361247062683,-0.05287355184555054,0.41683104634284973,0.7798153162002563,-0.07091372460126877,-0.49943289160728455,-0.09758219122886658,0.16689851880073547,-0.34539103507995605]"
7,http://www.wikidata.org/entity/Q18607968,Jaspar Beckx,[Person],"[0.962367594242096,0.2590426206588745,-0.14421629905700684,0.4806879460811615,0.6456072926521301,-0.10595110803842545,-0.40009212493896484,0.016026288270950317,0.17657479643821716,-0.6749454140663147]"
8,http://www.wikidata.org/entity/Q20531799,"Diego Bemba, a Servant of Don Miguel de Castro",[Paintings],"[0.9838948249816895,0.1455361247062683,-0.05287355184555054,0.41683104634284973,0.7798153162002563,-0.07091372460126877,-0.49943289160728455,-0.09758219122886658,0.16689851880073547,-0.34539103507995605]"
9,http://www.wikidata.org/entity/Q20441032,"Pedro Sunda, a Servant of Don Miguel de Castro",[Paintings],"[0.9596566557884216,0.14978930354118347,-0.05798967182636261,0.4512511193752289,0.2752510905265808,0.021300867199897766,-0.3929452896118164,-0.1620342880487442,0.059510864317417145,-0.3287583589553833]"
10,http://www.wikidata.org/entity/Q185635,tusk,[Keyword],"[0.9262188076972961,0.27315276861190796,0.014349490404129028,0.49130991101264954,0.35732871294021606,-0.037234339863061905,-0.2659487724304199,-0.09056633710861206,0.00048465572763234377,-0.5102728605270386]"
11,http://www.wikidata.org/entity/Q61985617,Map of Paranambucae,[Paintings],"[0.03353606164455414,0.3599141240119934,0.01385515183210373,0.016281597316265106,0.6597615480422974,-0.6653278470039368,0.32606643438339233,-0.10162356495857239,-0.11846891045570374,-0.4512375593185425]"
12,http://www.wikidata.org/entity/Q379677,Joan Blaeu,[Person],"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
14,http://www.wikidata.org/entity/Q1526131,Koninklijke Bibliotheek,[Collection],"[-0.1004161536693573,0.09022383391857147,0.19127917289733887,0.0018796399235725403,-0.08631105720996857,-0.567342221736908,0.2692723870277405,-0.2384488880634308,-0.2581931948661804,-0.5396688580513]"
15,http://www.wikidata.org/entity/Q98227938,Portrait of a Black Girl,[Paintings],"[0.4254894256591797,0.08044914901256561,0.4270702302455902,0.7164818048477173,-0.30751216411590576,-0.07218223810195923,-0.8476409316062927,0.6541112661361694,-0.22785145044326782,-0.22199521958827972]"
16,http://www.wikidata.org/entity/Q448555,Wenceslaus Hollar,[Person],"[0.38001132011413574,0.3220072388648987,0.290282666683197,0.5579125285148621,-0.5096672177314758,-0.035351306200027466,-0.8507866859436035,0.754296064376831,-0.43626388907432556,-0.24816933274269104]"
17,Portrait of a Man_exhibit,Portrait of a Man,[Paintings],"[0.6236530542373657,0.16090664267539978,0.6172593235969543,0.6594152450561523,0.5498194098472595,-0.20641443133354187,-0.9299577474594116,0.5872108936309814,0.275137722492218,-0.20470337569713593]"
18,http://www.wikidata.org/entity/Q513815,Wallerant Vaillant,[Person],"[0.6139243841171265,0.333028644323349,0.06096082925796509,0.6131324768066406,0.49768638610839844,0.03155618906021118,-0.3518032729625702,0.5372387170791626,0.087244912981987,-0.41946008801460266]"
21,Man in a Turban_exhibit,Man in a Turban,[Paintings],"[0.6468438506126404,-0.03591223061084747,0.06236344575881958,0.5533442497253418,0.4080176055431366,-0.848558247089386,-0.978204607963562,0.3957747519016266,0.633642315864563,-0.0031337812542915344]"
22,http://www.wikidata.org/entity/Q430783,Jan Lievens,[Person],"[0.5542348027229309,-0.08485256135463715,-0.13440655171871185,0.3804681599140167,0.05618583410978317,-0.9930281639099121,-0.6746611595153809,0.3162277638912201,0.6471419334411621,-0.1972242295742035]"
23,Doritos_exhibit,Doritos,[Paintings],"[0.7956053018569946,-0.01609089970588684,0.305740088224411,0.32020798325538635,0.5412459373474121,-0.002239137887954712,-0.9255638718605042,0.6535985469818115,0.40201660990715027,0.0007693618535995483]"
24,IRIÉE ZAMBLÉ_person,IRIÉE ZAMBLÉ,[Person],"[0.44762369990348816,0.029429614543914795,0.13552556931972504,0.24461999535560608,0.4513097107410431,-0.15060245990753174,-0.8683649897575378,0.7543743252754211,0.3484751284122467,-0.3150615990161896]"
25,The New Utopia Begins Here: Hermina Huiswoud_exhibit,The New Utopia Begins Here: Hermina Huiswoud,[Paintings],"[0.8737361431121826,-0.38511109352111816,0.2183154821395874,0.5137342810630798,0.25528794527053833,0.3528921902179718,-0.6204317808151245,0.35614174604415894,0.5776501297950745,-0.5172685980796814]"
26,http://www.wikidata.org/entity/Q21608324,Iris Kensmil,[Person],"[0.6540948152542114,-0.38962680101394653,0.18811550736427307,0.43318232893943787,-0.2411072552204132,0.4441456198692322,-0.4613092541694641,0.36536842584609985,0.5205925107002258,-0.906866192817688]"
27,The Unspoken Truth_exhibit,The Unspoken Truth,[Paintings],"[1.056020736694336,-0.20502851903438568,0.42467325925827026,-0.0037334710359573364,0.7635854482650757,-0.08622613549232483,-0.7198643684387207,0.26385945081710815,0.4776111841201782,-0.25095173716545105]"
28,Dion Rosina_person,Dion Rosina,[Person],"[0.8962966203689575,-0.11574654281139374,0.2495502084493637,-0.08150122314691544,0.4303146004676819,-0.3947114646434784,-0.6185672879219055,0.1268003135919571,0.42252570390701294,-0.5334416627883911]"
29,Ilona_exhibit,Ilona,[Paintings],"[1.03388512134552,-0.27329733967781067,0.6402256488800049,0.5067944526672363,0.3757376968860626,0.1190292239189148,-0.20417794585227966,0.386674165725708,0.3720148503780365,-0.22883455455303192]"
30,Hedy Tjin_person,Hedy Tjin,[Person],"[0.8552895188331604,-0.3290840685367584,0.637915313243866,0.5983218550682068,0.054508309811353683,0.0374600887298584,-0.08189830183982849,0.4210524559020996,0.1524343192577362,-0.4764753580093384]"
31,Head of a Boy_exhibit,Head of a Boy,[Paintings],"[0.7224224805831909,0.094770148396492,-0.0637020468711853,0.005235105752944946,0.8577607870101929,-0.7626892328262329,-1.0846179723739624,0.26880109310150146,0.46481433510780334,0.0764666348695755]"
32,http://www.wikidata.org/entity/Q926302,Leendert van der Cooghen,[Person],"[0.593277096748352,0.08371204137802124,-0.06859070807695389,-0.3185907006263733,0.6618677973747253,-0.983545184135437,-0.9365542531013489,1.7637274751791665e-8,0.4407687187194824,-0.07836143672466278]"
33,http://www.wikidata.org/entity/Q98227966,The Market in Dam Square,[Paintings],"[0.7365162968635559,0.10591891407966614,-0.10515318810939789,0.5631603002548218,0.33839288353919983,-0.645736038684845,-1.1277320384979248,0.3885374367237091,0.32300278544425964,-0.09829768538475037]"
34,http://www.wikidata.org/entity/Q859874,Jacob van der Ulft,[Person],"[0.4494120180606842,0.2501496970653534,-0.2841927409172058,0.3886670470237732,0.15732771158218384,-0.752415120601654,-0.9954068064689636,0.28867512941360474,0.14299973845481873,-0.44869041442871094]"
1584,null,null,[_GraphConfig],"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
