"时间戳记","By selecting ""I agree"", you are consenting to the conditions described above","Have you used a chatbot or a conversational agent as a museum guide before?","Do you think your visit experience was improved by having the conversation with the virtual guide?","Do you think the guide was annoying and spoiled your visit experience?","Evaluation on usability (1/3) [I think it was easy and clear to start a conversation with the agent.]","Evaluation on usability (1/3) [I would imagine that most people would learn to start the conversation quickly.]","Evaluation on usability (1/3) [I quickly realized what information the chatbot could give me.]","Evaluation on usability (1/3) [The amount of received information was neither too much nor too less.]","Evaluation on usability (1/3) [The amount of recommendation from agent is appropriate.]","Evaluation on usability (1/3) [The agent gives me only the information I need.]","Evaluation on usability (1/3) [The agent’s responses were easy to understand.]","Evaluation on usability (1/3) [I felt comfortable with the conversational interface, i.e. the chat box.]","Evaluation on usability (1/3) [My wait time is short for the response from the agent.]","Evaluation on Functionality (2/3) [I felt that the conversation is coherent and ongoing.]","Evaluation on Functionality (2/3) [I felt my intentions were understood by the agent.]","Evaluation on Functionality (2/3) [I had to rephrase my input multiple times for the agent to be able to understand me. ]","Evaluation on Functionality (2/3) [During the whole conversation, the agent offers relevant information about what I asked.]","Evaluation on Functionality (2/3) [The agent’s recommendations are always interesting to me.]","Evaluation on Functionality (2/3) [I liked to see the connections between exhibits through the knowledge graph.]","Evaluation on Functionality (2/3) [I felt asking questions to the agent was troublesome and unnecessary to me.]","Evaluation on Functionality (2/3) [My experience of visiting improved due to the recommendation from the agent.]","Did the conversational agent have any failures during the conversation?","Would you mind describing the failure you met?","Evaluation on Reliability(3/3) [The agent responded appropriately when it encountered a problem.]","Evaluation on Reliability(3/3) [The agent helped me back to the normal conversation when a failure happened]","Evaluation on Reliability(3/3) [I felt my personal information was secure during the whole conversation.]","Share your thoughts or comments towards the conversational agent or virtual museum here, if any:","Evaluation on Reliability(3/3) [I felt my personal information was secure during the whole conversation.]","Share your thoughts or comments towards the conversational agent or virtual museum  here, if any:"
"2021/11/04 12:26:01 下午 GMT+1","I agree","2","4","3","Neutral","Agree","Agree","Strongly agree","Agree","Neutral","Agree","Strongly agree","Agree","Strongly agree","Agree","Neutral","Agree","Neutral","Agree","Neutral","Agree","No","","","","","","Neutral",""
"2021/11/04 12:59:26 下午 GMT+1","I agree","2","4","3","Strongly agree","Agree","Agree","Agree","Neutral","Agree","Strongly agree","Agree","Agree","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Disagree","Neutral","Yes","","Agree","Disagree","Agree","","",""
"2021/11/04 9:11:33 下午 GMT+1","I agree","5","4","2","Neutral","Agree","Neutral","Agree","Agree","Agree","Strongly agree","Agree","Agree","Neutral","Strongly agree","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Yes","","Disagree","Agree","Agree","","",""
"2021/11/05 1:51:45 下午 GMT+1","I agree","1","4","2","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Disagree","Agree","Neutral","Disagree","Disagree","Agree","No","","","","","","Agree","For me, the museum logo to start the chat is a little bit hard to find cause it's small and outside the museum interface.    "
"2021/11/06 9:14:18 下午 GMT+1","I agree","2","5","1","Disagree","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Disagree","Agree","Agree","Strongly agree","Strongly disagree","Strongly agree","No","","","","","","Strongly agree",""
"2021/11/07 7:25:50 下午 GMT+1","I agree","1","2","3","Neutral","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Agree","Disagree","Disagree","Agree","Neutral","Neutral","No","","","","","","Agree",""
"2021/11/07 8:41:01 下午 GMT+1","I agree","1","4","1","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Neutral","Disagree","Agree","Agree","Agree","Disagree","Strongly agree","No","","","","","","Strongly agree",""
"2021/11/07 9:28:11 下午 GMT+1","I agree","4","3","2","Neutral","Agree","Neutral","Disagree","Agree","Disagree","Agree","Neutral","Agree","Disagree","Disagree","Agree","Agree","Neutral","Agree","Agree","Neutral","Yes","I had two issues when using the chabot: 1. sometimes the chabot responded lately such that the answer to the former question was given after I asked the follow-up question; 2. It seems that sometimes the chabot cannot recognize my order like ""finish the vsiting.""","Neutral","Neutral","Agree","The virtual museum was amazingly designed with marvellous masterpieces and in-depth background information of each. The chabot, in general, did his job well, except for the two issues aforementioned.","",""
"2021/11/08 12:23:26 下午 GMT+1","I agree","2","4","2","Neutral","Agree","Agree","Disagree","Neutral","Neutral","Agree","Agree","Disagree","Agree","Neutral","Agree","Agree","Neutral","Strongly agree","Neutral","Agree","Yes","Once I waited forever for an answer, so I clicked a different option and it worked again (but I never got a reply to my first question). I also found that once it recommended me a similar painting ""because both depict black people"" although one painting didn't (it was dam square), so that wasn't quite accurate in my opinion.","Disagree","Neutral","Strongly agree","First of all, really cool first steps towards a museum guide agent! Lots of potential :) My main issues are: 
- It should be more flexible with input, e.g. it didn't accept ""portrait of a man"", but only ""Portrait of a Man"", which is easy to fix
- I gave up on text input, and instead only used buttons. For usability/ease of use all forms of input should have a purpose, so if text input isn't helpful in the first place, I'd leave it out completely! Alternatively, if text input works better, I can imagine that I'd prefer it to buttons.
- I felt a bit lost on how to start, so perhaps an example interaction with the agent before starting could be useful. E.g. how to ask about genre of the painting? I couldn't find out quickly, because asking it just resulted in ""what did you say?"" (or something similar)
- If the agent doesn't know what you mean, it could be good to give a suggestion on how to rephrase or what the problem could be. E.g.: I could not find a painting of that name, try using capitalization correctly! Or, ""Maybe you'd like to know something about painting x, perhaps -> genre -> related paintings""... this kind of thing! I think that would already be a great help.

Good luck, this is super cool!","",""
"2021/11/08 10:58:44 下午 GMT+1","I agree","1","4","1","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Neutral","Disagree","Agree","Agree","Strongly agree","Strongly disagree","Agree","No","","","","","","Strongly agree","It is also expected to add the audio guide during the visiting "
