"_id","_labels","_applyNeo4jNaming","_classLabel","_dataTypePropertyLabel","_domainRel","_handleMultival","_handleRDFTypes","_handleVocabUris","_keepCustomDataTypes","_keepLangTag","_objectPropertyLabel","_rangeRel","_subClassOfRel","_subPropertyOfRel","date","description","exhibit","height","img","name","sitelink","uri","width","_start","_end","_type"
"0",":Paintings","","","","","","","","","","","","","","1659-01-01T00:00:00","painting by Hendrick Heerschop, Berlijn, Staatliche Museen zu Berlin, Gemäldegalerie","Legend has it that one of the three magi who came to worship the Christ child was an African. Sometimes he is called Caspar, sometimes Balthasar. Heerschop painted him without surroundings or story. He can only be identified from his expensive clothes and the jar of incense he gave as his gift. But it is the man’s face that attracts the most attention; he looks at us proudly and self-confidently.","","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Hendrick-Heerschop-Koning-Caspar-1654.-Olieverf-op-paneel.-Berlijn-Staatliche-Museen.jpg/485px-Hendrick-Heerschop-Koning-Caspar-1654.-Olieverf-op-paneel.-Berlijn-Staatliche-Museen.jpg","King Caspar","1","http://www.wikidata.org/entity/Q94997800","",,,
"1",":Person","","","","","","","","","","","","","","","painter from the Northern Netherlands (1626-1690)","","","","Hendrik Heerschop","","http://www.wikidata.org/entity/Q5713884","",,,
"2",":Keyword","","","","","","","","","","","","","","","according to Christian tradition, a king of India and one of the three Magi (younger than Melchior, older than Balthazar) that visited Jesus, who gave the gift of frankincense","","","","Saint Caspar","","http://www.wikidata.org/entity/Q7401079","",,,
"4",":Person","","","","","","","","","","","","","","","Dutch painter (1613-1675)","","","","Gerrit Dou","","http://www.wikidata.org/entity/Q335927","",,,
"5",":Paintings","","","","","","","","","","","","","","1630-01-01T00:00:00","painting by Gerrit Dou, Hannover, Niedersächsisches Landesmuseum Hannover","Dou was Rembrandt’s first pupil. He took up his master’s idea of studying black people. The result was this endearing tronie of a young man in a fantasy costume, who looks at us over his shoulder.","","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Portrait_of_a_Boy%2C_Gerrit_Dou%2C_c._1630%2C_oil_on_panel%2C_42_by_33.5_cm%2C_Nieders%C3%A4chsisches_Landesmuseum_Hanover.jpg/330px-Portrait_of_a_Boy%2C_Gerrit_Dou%2C_c._1630%2C_oil_on_panel%2C_42_by_33.5_cm%2C_Nieders%C3%A4chsisches_Landesmuseum_Hanover.jpg","Head of a Boy in a Turban","1","http://www.wikidata.org/entity/Q28940972","",,,
"6",":Paintings","","","","","","","","","","","","","","1643-01-01T00:00:00","painting by Jasper of Jeronimus Beckx, Kopenhagen, Statensmuseum for Kunst","Dom Miguel de Castro makes here a powerful, serious expression. He was a member of the Congolese elite. This portrait was commissioned by the Dutch West India Company. The WIC and the Congolese rulers traded in gold an ivory, but mainly in people. This is why Dom Miguel now is seen as a controversial figure. 
Dom Miguel wears fashionable European clothes. This is probably the suit he had acquired in Brazil, when he had visited the Dutch colony earlier.","72","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Jaspar_Beckx_%28tidl._tilskrevet%29_-_Don_Miguel_de_Castro%2C_Emissary_of_Kongo_-_KMS7_-_Statens_Museum_for_Kunst.jpg/330px-Jaspar_Beckx_%28tidl._tilskrevet%29_-_Don_Miguel_de_Castro%2C_Emissary_of_Kongo_-_KMS7_-_Statens_Museum_for_Kunst.jpg","Don Miguel de Castro, Emissary of Congo","1","http://www.wikidata.org/entity/Q20380797","62",,,
"7",":Person","","","","","","","","","","","","","","","Dutch painter (1547-1647)","","","","Jaspar Beckx","","http://www.wikidata.org/entity/Q18607968","",,,
"8",":Paintings","","","","","","","","","","","","","","1640-01-01T00:00:00","painting by Jasper of Jeronimus Beckx, Kopenhagen, Statensmuseum for Kunst","We know the names of these three men from the inscriptions on the backs of the paintings. This is Diego Bemba. He holds a small casket, probably a diplomatic gift. He was one of Don Miguel de Castro’s servants.","72","https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/KMS9_Ubekendt_-_Diego_Bemba%2C_a_Servant_of_Dom_Miguel_de_Castro_-_KMS9_-_Statens_Museum_for_Kunst.jpg/330px-KMS9_Ubekendt_-_Diego_Bemba%2C_a_Servant_of_Dom_Miguel_de_Castro_-_KMS9_-_Statens_Museum_for_Kunst.jpg","Diego Bemba, a Servant of Don Miguel de Castro","1","http://www.wikidata.org/entity/Q20531799","62",,,
"9",":Paintings","","","","","","","","","","","","","","1640-01-01T00:00:00","painting by Jasper of Jeronimus Beckx, Kopenhagen, Statensmuseum for Kunst","Pedro Sunda holds an elephant’s tusk. Ivory was one of the Congo’s major export products. The status of these young men is unclear. Were they assistants of the noble Dom Miguel or were they enslaved?","72","https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/KMS8_Ubekendt_-_Pedro_Sunda%2C_a_Servant_of_Dom_Miguel_de_Castro_-_KMS8_-_Statens_Museum_for_Kunst.jpg/330px-KMS8_Ubekendt_-_Pedro_Sunda%2C_a_Servant_of_Dom_Miguel_de_Castro_-_KMS8_-_Statens_Museum_for_Kunst.jpg","Pedro Sunda, a Servant of Don Miguel de Castro","1","http://www.wikidata.org/entity/Q20441032","62",,,
"10",":Keyword","","","","","","","","","","","","","","","elongated, continuously growing front teeth","","","","tusk","","http://www.wikidata.org/entity/Q185635","",,,
"11",":Paintings","","","","","","","","","","","","","","1647-01-01T00:00:00","painting by Joan Blaeu / Georg Marcgraf / Frans Post","A map of the Dutch colony in the northeast of Brazil. This is how the colony was depicted. Upper right there is a sugar mill where enslaved Africans worked. There is no hint of the harsh working conditions. To the left the Africans are shown dancing and making music. For the people of the Netherlands the gruesome reality of slavery was kept out of the picture.","54","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Atlas_Van_der_Hagen-KW1049B13_095-PRAEFECTURAE_PARANAMBUCAE_PARS_BOREALIS%2C_una_cum_PRAEFECTURA_de_ITAMARACA.jpeg/330px-Atlas_Van_der_Hagen-KW1049B13_095-PRAEFECTURAE_PARANAMBUCAE_PARS_BOREALIS%2C_una_cum_PRAEFECTURA_de_ITAMARACA.jpeg","Map of Paranambucae","1","http://www.wikidata.org/entity/Q61985617","42",,,
"12",":Person","","","","","","","","","","","","","","","Dutch cartographer (1596-1673)","","","","Joan Blaeu","24","http://www.wikidata.org/entity/Q379677","",,,
"14",":Collection","","","","","","","","","","","","","","","National Library of the Netherlands","","","","Koninklijke Bibliotheek","35","http://www.wikidata.org/entity/Q1526131","",,,
"15",":Paintings","","","","","","","","","","","","","","1645-01-01T00:00:00","etching by Wenzel Hollar, Amsterdam, Rijksmuseum","A rare portrait etchings of black people. She wears the normal seventeenth-century clothing of the middle class. Hollar made the portrait in Antwerp, as we can see from the inscription beside the girl. The prints were intended for sale. The artist showed his skill by successfully rendering a black skin in an etching. This appealed to collectors.","79","https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Portret_van_een_zwarte_jonge_vrouw_met_kanten_hoofdkapje_en_bijpassende_kraag%2C_RP-P-OB-11.591.jpg/330px-Portret_van_een_zwarte_jonge_vrouw_met_kanten_hoofdkapje_en_bijpassende_kraag%2C_RP-P-OB-11.591.jpg","Portrait of a Black Girl","0","http://www.wikidata.org/entity/Q98227938","58",,,
"16",":Person","","","","","","","","","","","","","","","Czech cartographer, natural painter, portrait painter and engraver","","","","Wenceslaus Hollar","27","http://www.wikidata.org/entity/Q448555","",,,
"17",":Paintings","","","","","","","","","","","","","","1675-01-01T00:00:00","painting by Wallerant Vaillant, Rijksmuseum, c. 1660-1675","Vaillant made a true likeness of this man with an individual appearance . However, this print appears to have been made to sell to collectors, not commissioned by the sitter. Vaillant was an expert in mezzotint, a technique for making prints in different shades of black. It was obviously also ideal for depicting dark skin.","","https://i.pinimg.com/736x/e6/00/05/e600055d677252de36621a74e0c88a3c.jpg","Portrait of a Man","0","Portrait of a Man_exhibit","",,,
"18",":Person","","","","","","","","","","","","","","","painter from the Northern Netherlands (1623-1677)","","","","Wallerant Vaillant","27","http://www.wikidata.org/entity/Q513815","",,,
"21",":Paintings","","","","","","","","","","","","","","1628-01-01T00:00:00","Red and black chalk on paper by Jan Lievens.","Lievens made this drawing in Leiden when he was working closely with his friend Rembrandt. The individual appearance makes it clear that someone modelled for this, but that model was then given a turban and a feather to wear, turning him into a Mediterranean type.","","https://live.staticflickr.com/5484/30474331671_78e8724cf8_c.jpg","Man in a Turban","0","Man in a Turban_exhibit","",,,
"22",":Person","","","","","","","","","","","","","","","Dutch painter (1607-1674)","","","","Jan Lievens","23","http://www.wikidata.org/entity/Q430783","",,,
"23",":Paintings","","","","","","","","","","","","","","2019-01-01T00:00:00","Acrylics and oil on canvas by IRIÉE ZAMBLÉ, 2019.","A woman sits on a couch holding a bag of tortilla chips. Black people are now represented in art in everyday situations. The artist Iriée Zamblé expresses her feelings: ‘I still don't see enough of the people who pass me every day reflected in art. That's why I feel an urge to capture them in my paintings.’","","http://drive.google.com/uc?export=view&id=1_jZpF4b3ayflooSPyYr6odjKMBLNchVR","Doritos","0","Doritos_exhibit","",,,
"24",":Person","","","","","","","","","","","","","","","Dutch painter","","","","IRIÉE ZAMBLÉ","0","IRIÉE ZAMBLÉ_person","",,,
"25",":Paintings","","","","","","","","","","","","","","2019-01-01T00:00:00","oil on canvas by Iris Kensmil, 2019","In her portraits, Kensmil focuses on black people who played important roles in history. Hermina Huiswoud (1905-1998) was a political activist. She belonged to a generation of anti-colonial thinkers, leaders and organizers who were active in the fight against European and American imperialism. After the Second World War she worked in Amsterdam, and as a supporter of the Our Suriname Association (VOS) fought for the independence of the Dutch colony.","","https://pbs.twimg.com/media/ETvXpF8WoAIGJ8i.jpg","The New Utopia Begins Here: Hermina Huiswoud","0","The New Utopia Begins Here: Hermina Huiswoud_exhibit","",,,
"26",":Person","","","","","","","","","","","","","","","Dutch artist","","","","Iris Kensmil","0","http://www.wikidata.org/entity/Q21608324","",,,
